72,180
75,210
70,165
68,155
74,200
73,190
71,175
69,160
76,220
72,185
73,195
70,170
71,180
69,165
74,205
75,215
68,158
72,182
73,188
70,172
71,178
69,162
74,198
75,212
68,160
72,184
73,190
70,168
71,176
69,164
74,202
75,218
68,159
72,186
73,192
70,174
71,180
69,166
74,200
75,210
68,161
72,188
73,194
70,176
71,182
69,168
74,204
75,216
68,163
72,190
73,196
70,178
71,184
69,170
74,206
75,218
68,165
72,192
73,198
70,180
71,186
69,172
74,208
75,220
68,167
72,194
73,200
70,182
71,188
69,174
74,210
75,222
68,169
72,196
73,202
70,184
71,190
69,176
74,212
75,224
68,171
72,198
73,204
70,186
71,192
69,178
74,214
75,226
68,173
72,200
73,206
70,188
71,194
69,180
74,216
75,228
68,175
72,202
73,208
70,190
71,196
69,182
74,218
75,230
68,177
72,204
73,210
70,192
71,198
69,184
74,220
75,232
68,179
72,206
73,212
70,194
71,200
69,186
74,222
75,234
68,181
72,208
73,214
70,196
71,202
69,188
74,224
75,236
68,183
72,210
73,216
70,198
71,204
69,190
74,226
75,238
68,185
72,212
73,218
70,200
71,206
69,192
74,228
75,240
